"id";"code";"d1";"d2";"d3";"d4";"d5";"d6";"d7";"d8"
1408;"映美控股";"-5.6460";"13.8530";"11.8400";"61.1760";"31.3890";"88.9210";"49.9060";"82.6050"
1409;"卡宾";"109.4950";"201.8830";"87.9790";"181.6890";"102.1700";"287.5580";"149.1970";"235.5020"
1410;"澳至尊";"12.5300";"0.9060";"-1.9880";"3.0820";"12.2930";"1.6460";"23.1740";"34.5750"
1411;"时计宝";"291.4470";"146.1690";"101.4550";"235.7440";"296.3410";"169.4880";"336.7550";"157.1370"
1412;"富智康集团";"-348.0610";"-525.4870";"138.3210";"-196.5560";"229.0660";"21.4440";"129.8290";"169.4370"
1413;"中集集团 ";"965.3970";"796.8980";"446.2870";"509.6810";"2509.2420";"1309.3800";"-189.6310";"-378.0340"
1414;"盛京银行 ";"2840.7090";"7580.0550";"3506.7380";"6864.5200";"3616.3880";"6211.3340";"2493.5640";"3193.9060"
1415;"中铝国际";"38.0055";"21.7303";"616.8790";"944.6680";"253.1870";"687.2878";"169.9150";"333.1700"
1416;"荣阳实业";"-128.5060";"-99.1050";"-61.6000";"-156.3320";"-67.6730";"-232.0010";"-131.7110";"-336.6770"
1417;"奥克斯国际";"-25.5170";"-2.8490";"-28.8030";"-12.3260";"-25.9820";"-19.4210";"-0.1040";"11.2500"
1418;"大自然家居";"74.7510";"68.1820";"16.4590";"38.2800";"-16.1860";"-267.7420";"-135.8570";"-75.3560"
1419;"海航科技投资";"-10.5950";"5.6890";"20.3040";"-18.5030";"0.8770";"-19.8630";"9.3540";"-7.8350"
1420;"西王置业";"46.1590";"-7.8930";"3.4520";"-13.6870";"-5.7500";"-15.0860";"-5.7070";"-80.9500"
1421;"卓尔智联";"1236.1220";"1074.6140";"2379.0770";"2048.9510";"1463.3670";"2037.7270";"1572.8190";"1171.1310"
1422;"中国黄金国际";"1.9680";"1.7820";"6.3310";"63.1460";"43.6890";"26.5130";"-13.3040";"10.4150"
1423;"百奥家庭互动";"99.4450";"9.8990";"-14.3940";"35.5130";"-5.4480";"98.9090";"53.3820";"-131.7020"
1424;"超盈国际控股";"104.0540";"304.2190";"140.7060";"456.2510";"191.7930";"342.3830";"137.6480";"214.5590"
